Fecha;Comprobante;Número Comprobante;Monto Exento;Monto Gravado;Monto Iva Inscripto;Monto Iva No Inscripto;Monto Percepciones DGR;Monto Percepciones Municipal;Monto Total
03/09/2020 06:27:00 p.m.;FAC;A001401277348;970,94;0,00;0,00;0,00;4,85;0,00;975,79
03/09/2020 07:02:00 p.m.;FAC;A001401277404;0,00;1.073,26;225,38;0,00;5,37;0,00;1.304,01
03/09/2020 07:03:00 p.m.;FAC;A001401277405;9.852,73;0,00;0,00;0,00;49,26;0,00;9.901,99
03/09/2020 07:04:00 p.m.;FAC;A001401277407;18.684,50;0,00;0,00;0,00;93,42;0,00;18.777,92
03/09/2020 07:50:00 p.m.;FAC;A001309301410;0,00;8.594,44;1.804,83;0,00;42,97;0,00;10.442,24
03/09/2020 08:05:00 p.m.;FAC;A001401277591;1.042,35;0,00;0,00;0,00;5,21;0,00;1.047,56
04/09/2020 11:04:00 a.m.;FAC;A001401277757;10.025,66;0,00;0,00;0,00;50,13;0,00;10.075,79
04/09/2020 11:51:00 a.m.;FAC;A001401277873;2.591,71;0,00;0,00;0,00;12,96;0,00;2.604,67
04/09/2020 11:59:00 a.m.;FAC;A001401277914;16.136,65;0,00;0,00;0,00;80,68;0,00;16.217,33
04/09/2020 12:00:00 p.m.;FAC;A001401277936;963,03;0,00;0,00;0,00;4,82;0,00;967,85
04/09/2020 07:11:00 p.m.;FAC;A001401278225;9.836,71;779,36;163,67;0,00;53,08;0,00;10.832,82
04/09/2020 07:27:00 p.m.;FAC;A001309305938;0,00;302,08;63,44;0,00;1,51;0,00;367,03
05/09/2020 11:20:00 a.m.;FAC;A001401278528;10.179,26;0,00;0,00;0,00;50,90;0,00;10.230,16
05/09/2020 12:00:00 p.m.;FAC;A001401278624;3.320,08;0,00;0,00;0,00;16,60;0,00;3.336,68
07/09/2020 06:21:00 a.m.;NCR;A001400089096;-11.415,54;0,00;0,00;0,00;0,00;0,00;-11.415,54
07/09/2020 10:08:00 a.m.;FAC;A001401278807;0,00;510,60;107,23;0,00;2,55;0,00;620,38
07/09/2020 10:54:00 a.m.;FAC;A001401278884;901,78;0,00;0,00;0,00;4,51;0,00;906,29
